Division,equipo
Sudoeste,Dallas Mavericks
Sudoeste,Houston Rockets
Sudoeste,Memphis Grizzlies
Sudoeste,New Orleans Pelicans
Sudoeste,San Antonio Spurs
Noroeste,Denver Nuggets
Noroeste,Minnesota Timberwolves
Noroeste,Oklahoma City Thunder
Noroeste,Portland Trail Blazers
Noroeste,Utah Jazz
Pacifico,Golden State Warriors
Pacifico,Los Angeles Clippers
Pacifico,Los Angeles Lakers
Pacifico,Phoenix Suns
Pacifico,Sacramento Kings
Atlantico,Boston Celtics
Atlantico,Brooklyn Nets
Atlantico,New York Knicks
Atlantico,Philadelphia 76ers
Atlantico,Toronto Raptors
Central,Chicago Bulls
Central,Cleveland Cavaliers
Central,Detroit Pistons
Central,Indiana Pacers
Central,Milwaukee Bucks
Sudeste,Atlanta Hawks
Sudeste,Charlotte Hornets
Sudeste,Miami Heat
Sudeste,Orlando Magic
Sudeste,Washington Wizards
