equipo,ciudad,posicion,conferencia
Atlanta Hawks,Atlanta,10,Este
Boston Celtics,Boston,1,Este
Brooklyn Nets,Brooklyn,11,Este
Charlotte Hornets,Charlotte,13,Este
Chicago Bulls,Chicago,9,Este
Cleveland Cavaliers,Cleveland,4,Este
Dallas Mavericks,Dallas,5,Oeste
Denver Nuggets,Denver,2,Oeste
Detroit Pistons,Detroit,15,Este
Golden State Warriors,San Francisco,10,Oeste
Houston Rockets,Houston,11,Oeste
Indiana Pacers,Indianapolis,6,Este
Los Angeles Clippers,Los Angeles,4,Oeste
Los Angeles Lakers,Los Angeles,7,Oeste
Memphis Grizzlies,Memphis,13,Oeste
Miami Heat,Miami,8,Este
Milwaukee Bucks,Milwaukee,3,Este
Minnesota Timberwolves,Minneapolis,3,Oeste
New Orleans Pelicans,New Orleans,8,Oeste
New York Knicks,New York,2,Este
Oklahoma City Thunder,Oklahoma City,1,Oeste
Orlando Magic,Orlando,5,Este
Philadelphia 76ers,Philadelphia,7,Este
Phoenix Suns,Phoenix,6,Oeste
Portland Trail Blazers,Portland,15,Oeste
Sacramento Kings,Sacramento,9,Oeste
San Antonio Spurs,San Antonio,14,Oeste
Toronto Raptors,Toronto,12,Este
Utah Jazz,Salt Lake City,12,Oeste
Washington Wizards,Washington D.C.,14,Este
