equipo,campeonatos,ciudad,posicion,conferencia,PTS_por_juego,player,puntos,rebotes,asistencias
Atlanta Hawks,1,Atlanta,10,Este,118,Trae Young,25.7,2.8,10.8
Boston Celtics,18,Boston,1,Este,120,Jayson Tatum,26.9,8.1,4.9
Brooklyn Nets,2,Brooklyn,11,Este,110,Cam Thomas,22.5,3.2,2.9
Charlotte Hornets,0,Charlotte,13,Este,106,LaMelo Ball,23.9,5.1,8.0
Chicago Bulls,6,Chicago,9,Este,112,DeMar DeRozan,24.0,4.3,5.3
Cleveland Cavaliers,1,Cleveland,4,Este,112,Donovan Mitchell,26.6,5.1,6.1
Dallas Mavericks,1,Dallas,5,Oeste,117,Luka Doncic,33.9,9.2,9.8
Denver Nuggets,1,Denver,2,Oeste,114,Nikola Jokic,26.4,12.4,9.0
Detroit Pistons,3,Detroit,15,Este,109,Cade Cunningham,22.7,4.3,7.5
Golden State Warriors,7,San Francisco,10,Oeste,117,Stephen Curry,26.4,4.5,5.1
Houston Rockets,2,Houston,11,Oeste,114,Alperen Sengun,21.1,9.3,5.0
Indiana Pacers,3,Indianapolis,6,Este,123,Pascal Siakam,21.3,7.8,3.7
Los Angeles Clippers,0,Los Angeles,4,Oeste,115,Kawhi Leonard,23.7,6.1,3.6
Los Angeles Lakers,17,Los Angeles,7,Oeste,118,LeBron James,25.7,7.3,8.3
Memphis Grizzlies,0,Memphis,13,Oeste,105,Ja Morant,25.1,5.6,8.1
Miami Heat,3,Miami,8,Este,110,Jimmy Butler,20.8,5.3,5.0
Milwaukee Bucks,2,Milwaukee,3,Este,118,Giannis Antetokounmpo,30.4,11.5,6.5
Minnesota Timberwolves,0,Minneapolis,3,Oeste,112,Anthony Edwards,25.9,5.4,5.1
New Orleans Pelicans,0,New Orleans,8,Oeste,115,Zion Williamson,22.9,5.8,5.0
New York Knicks,2,New York,2,Este,112,Jalen Brunson,28.7,3.6,6.7
Oklahoma City Thunder,1,Oklahoma City,1,Oeste,120,Shai Gilgeous-Alexander,30.1,5.5,6.2
Orlando Magic,0,Orlando,5,Este,110,Paolo Banchero,22.6,6.9,5.4
Philadelphia 76ers,3,Philadelphia,7,Este,114,Joel Embiid,34.7,11.0,5.6
Phoenix Suns,0,Phoenix,6,Oeste,116,Devin Booker,27.1,4.5,6.9
Portland Trail Blazers,1,Portland,15,Oeste,106,Anfernee Simons,22.6,3.6,5.5
Sacramento Kings,1,Sacramento,9,Oeste,116,De'Aaron Fox,26.6,4.6,5.6
San Antonio Spurs,5,San Antonio,14,Oeste,112,Victor Wembanyama,21.4,10.6,3.9
Toronto Raptors,1,Toronto,12,Este,112,Pascal Siakam,22.2,6.3,4.9
Utah Jazz,0,Salt Lake City,12,Oeste,115,Lauri Markkanen,23.2,8.2,2.0
Washington Wizards,1,Washington D.C.,14,Este,113,Kyle Kuzma,22.2,6.6,4.2
