fecha,equipo,PTS,Division,pos
2023-10,Atlanta Hawks,121,Sudeste,1
2023-10,Washington Wizards,113,Sudeste,0
2023-10,Utah Jazz,110,Noroeste,0
2023-10,Toronto Raptors,99,Atlantico,0
2023-10,San Antonio Spurs,110,Sudoeste,0
2023-10,Sacramento Kings,125,Pacifico,1
2023-10,Portland Trail Blazers,101,Noroeste,-1
2023-10,Phoenix Suns,110,Pacifico,-1
2023-10,Orlando Magic,105,Sudeste,0
2023-10,Oklahoma City Thunder,112,Noroeste,1
2023-10,New York Knicks,106,Atlantico,0
2023-10,New Orleans Pelicans,103,Sudoeste,0
2023-10,Minnesota Timberwolves,104,Noroeste,0
2023-10,Milwaukee Bucks,116,Central,0
2023-10,Philadelphia 76ers,119,Atlantico,0
2023-10,Memphis Grizzlies,106,Sudoeste,-1
2023-10,Miami Heat,104,Sudeste,0
2023-10,Brooklyn Nets,122,Atlantico,-1
2023-10,Charlotte Hornets,112,Sudeste,-1
2023-10,Chicago Bulls,105,Central,0
2023-10,Cleveland Cavaliers,105,Central,0
2023-10,Dallas Mavericks,125,Sudoeste,1
2023-10,Denver Nuggets,116,Noroeste,0
2023-10,Boston Celtics,117,Atlantico,1
2023-10,Golden State Warriors,115,Pacifico,0
2023-10,Houston Rockets,101,Sudoeste,0
2023-10,Indiana Pacers,124,Central,1
2023-10,Los Angeles Clippers,120,Pacifico,0
2023-10,Los Angeles Lakers,110,Pacifico,0
2023-10,Detroit Pistons,110,Central,-1
2023-11,Minnesota Timberwolves,113,Noroeste,0
2023-11,New Orleans Pelicans,115,Sudoeste,0
2023-11,New York Knicks,111,Atlantico,0
2023-11,Oklahoma City Thunder,121,Noroeste,1
2023-11,Orlando Magic,116,Sudeste,0
2023-11,Phoenix Suns,118,Pacifico,-1
2023-11,Toronto Raptors,114,Atlantico,0
2023-11,Sacramento Kings,114,Pacifico,1
2023-11,San Antonio Spurs,112,Sudoeste,0
2023-11,Utah Jazz,112,Noroeste,0
2023-11,Washington Wizards,116,Sudeste,0
2023-11,Portland Trail Blazers,105,Noroeste,-1
2023-11,Milwaukee Bucks,121,Central,0
2023-11,Philadelphia 76ers,120,Atlantico,0
2023-11,Memphis Grizzlies,105,Sudoeste,-1
2023-11,Brooklyn Nets,114,Atlantico,-1
2023-11,Charlotte Hornets,114,Sudeste,-1
2023-11,Chicago Bulls,107,Central,0
2023-11,Cleveland Cavaliers,112,Central,0
2023-11,Dallas Mavericks,118,Sudoeste,1
2023-11,Denver Nuggets,113,Noroeste,0
2023-11,Boston Celtics,116,Atlantico,1
2023-11,Atlanta Hawks,123,Sudeste,1
2023-11,Detroit Pistons,109,Central,-1
2023-11,Los Angeles Lakers,113,Pacifico,0
2023-11,Los Angeles Clippers,110,Pacifico,0
2023-11,Miami Heat,114,Sudeste,0
2023-11,Houston Rockets,113,Sudoeste,0
2023-11,Golden State Warriors,114,Pacifico,0
2023-11,Indiana Pacers,128,Central,1
2023-12,New Orleans Pelicans,119,Sudoeste,0
2023-12,New York Knicks,121,Atlantico,0
2023-12,Oklahoma City Thunder,123,Noroeste,1
2023-12,Orlando Magic,111,Sudeste,0
2023-12,Philadelphia 76ers,122,Atlantico,0
2023-12,Phoenix Suns,114,Pacifico,-1
2023-12,Portland Trail Blazers,115,Noroeste,-1
2023-12,San Antonio Spurs,110,Sudoeste,0
2023-12,Utah Jazz,115,Noroeste,0
2023-12,Washington Wizards,117,Sudeste,0
2023-12,Minnesota Timberwolves,114,Noroeste,0
2023-12,Sacramento Kings,119,Pacifico,1
2023-12,Toronto Raptors,116,Atlantico,0
2023-12,Miami Heat,114,Sudeste,0
2023-12,Memphis Grizzlies,108,Sudoeste,-1
2023-12,Atlanta Hawks,120,Sudeste,1
2023-12,Milwaukee Bucks,129,Central,0
2023-12,Brooklyn Nets,115,Atlantico,-1
2023-12,Charlotte Hornets,106,Sudeste,-1
2023-12,Chicago Bulls,114,Central,0
2023-12,Cleveland Cavaliers,113,Central,0
2023-12,Dallas Mavericks,118,Sudoeste,1
2023-12,Boston Celtics,126,Atlantico,1
2023-12,Detroit Pistons,111,Central,-1
2023-12,Golden State Warriors,119,Pacifico,0
2023-12,Houston Rockets,113,Sudoeste,0
2023-12,Indiana Pacers,123,Central,1
2023-12,Los Angeles Clippers,121,Pacifico,0
2023-12,Los Angeles Lakers,116,Pacifico,0
