Team,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Atlanta Hawks,82,43,39,0.524,48.1,113.9,41.5,88.3,47.0,12.9,34.4,37.4,18.1,22.3,81.2,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6
Boston Celtics,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3
Brooklyn Nets,82,44,38,0.537,48.2,112.9,42.0,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8
Charlotte Hornets,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74.0,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4
Chicago Bulls,82,46,36,0.561,48.1,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,-0.4
Cleveland Cavaliers,82,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76.0,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,2.1
Dallas Mavericks,82,52,30,0.634,48.2,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,3.3
Denver Nuggets,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,2.3
Detroit Pistons,82,23,59,0.280,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22.0,78.2,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7
Golden State Warriors,82,53,29,0.646,48.1,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,5.5
Houston Rockets,82,20,62,0.244,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5
Indiana Pacers,82,25,57,0.305,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5
LA Clippers,82,42,40,0.512,48.2,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44.0,24.0,13.7,7.4,5.0,4.1,18.6,18.5,0.0
Los Angeles Lakers,82,33,49,0.402,48.7,112.1,41.6,88.8,46.9,12.0,34.5,34.7,16.8,23.0,73.2,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,-3.0
Memphis Grizzlies,82,56,26,0.683,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,5.7
Miami Heat,82,53,29,0.646,48.4,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,4.5
Milwaukee Bucks,82,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,3.4
Minnesota Timberwolves,82,46,36,0.561,48.2,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,2.6
